佳麗寶．Impress潤膚露N(I保濕型/II滋潤型)、佳麗寶．Impress潤膚乳N(I保濕型/II滋潤型)、佳麗寶．Impress CT賦活緊緻精華液N、佳麗寶．角質美容液	佳麗寶化工股份有限公司/	台北市	03 21 2016 12:00AM	化粧品衛生管理條例第24條第2項	刊播未申請核准之廣告	12  5 2015 12:00AM	平面媒體	BEAUTY大美人	未違規結案	
DARPHIN 甘菊芳香精露、甜橘芳香精露、白千層芳香精露、玫瑰芳香精露、橙花芳香精露、茉莉芳香精露、百妍極緻芳香精露、百妍極緻舒芙蕾芳香精露、隨心所欲亮澤芳香精露、花梨木按摩潔面膏、芳香柔潤調理膏、芳香潔淨調理膏	美商雅詩蘭黛股份有限公司台灣分公司/	台北市	02 26 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	12  5 2015 12:00AM	平面媒體	BEAUTY大美人	未違規結案	
ONCE 極緻青春肌活露	非廠商/徐○彬	台北市	02 18 2016 12:00AM		刊播未申請核准之廣告	12 19 2015 12:00AM	平面媒體	蘋果日報	相關案件已處分	
ONCE 極緻青春肌活露	非廠商/徐0彬	台北市	02 18 2016 12:00AM		刊播未申請核准之廣告	12 30 2015 12:00AM	平面媒體	蘋果日報	相關案件已處分	
樂指利護甲凝膠	香港商高德美有限公司台灣分公司 /	臺北市	07 30 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01  5 2015 12:00AM	平面媒體	自由時報	未違規結案	
Dr.Q魔法43美腿霜	動力生技股份有限公司/'黃雪茵	臺北市	08 14 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01  5 2015 12:00AM	平面媒體	蘋果日報	未違規結案	
Dr.Q魔法43美腿霜	動力生技股份有限公司/'黃雪茵	臺北市	08 14 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01  5 2015 12:00AM	平面媒體	蘋果日報	未違規結案	
JUMELLE極效修護水凝霜	真愛無瑕有限公司/呂王麗春	臺北市	07 31 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01  7 2015 12:00AM	平面媒體	蘋果日報	未違規結案	
ONCE保濕精華凝露	徐榮彬/蕭米茹	臺北市	05 10 2015 12:00AM	化粧品衛生管理條例第24條第2項	傳播業者刊登或宣播未經核准之化妝品廣告	01  7 2015 12:00AM	平面媒體	蘋果日報	未違規結案	
海洋拉娜經典乳霜等產品	美商怡佳股份有限公司台灣分公司/陳國憫	臺北市	11 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	01  7 2015 12:00AM	平面媒體	時尚女王	未違規結案	
雅詩蘭黛NRF超智慧乳霜	美商怡佳股份有限公司台灣分公司/陳國憫	臺北市	11 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	01  7 2015 12:00AM	平面媒體	時尚女王	未違規結案	
巴黎卡詩金緻柔馭系列	台灣萊雅股份有限公司/施洛朗	臺北市	07 21 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01  8 2015 12:00AM	平面媒體	時尚女王	未違規結案	
碧歐斯24K金生物黃金精華露	沃盛有限公司/TOR GEOK KUAN 杜玉娟	臺北市	08 12 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01  8 2015 12:00AM	平面媒體	VIVI唯妳時尚國際中文版 	未違規結案	
雪花秀 滋如臻人蔘能量緊顏精萃	愛茉莉太平洋股份有限公司/	臺北市	07  7 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	01  8 2015 12:00AM	平面媒體	時報周刊	相關案件已處分	
雅詩蘭黛 NRF2超智慧乳霜	美商怡佳股份有限公司台灣分公司/	臺北市	11 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	01  8 2015 12:00AM	平面媒體	壹週刊	未違規結案	
MISSHA逆轉時光極效活膚系列	台灣屈臣氏個人用品商店股份有限公司/	臺北市	08  3 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01  8 2015 12:00AM	平面媒體	WITH與妳時尚國際中文版	未違規結案	
SK-II 青春露、微磁亮眼修護組、肌源新生賦活精萃、肌源新生活膚霜等產品	台灣寶潔家品有限公司/	臺北市	08 14 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01  8 2015 12:00AM	平面媒體	壹週刊	未違規結案	
Timaru專科毛孔胺基酸潔顏	奇威國際洋行有限公司/		12 25 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	09  9 2015 12:00AM	電視		未違規結案	
台酒生技酒粕精粹逆齡活膚青春露	阜助實業有限公司/		01 29 2016 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	09 10 2015 12:00AM	電視		未違規結案	
Ashiya日本皇室寵愛乳清淨白組	喬依國際股份有限公司/		02  1 2016 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	09 10 2015 12:00AM	電視		未違規結案	
Transkin蘭鑽奢華潔顏美白組	美光生醫科技股份有限公司/		12  9 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容誇大不實	09 11 2015 12:00AM	電視		未違規結案	
ORIKS珍珠瀅白煥妍敷膜	韓貿開發有限公司/		12 21 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	09 14 2015 12:00AM	電視		未違規結案	
Timaru檀木凝香全能皂組	奇威國際洋行有限公司/		12 24 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	09 14 2015 12:00AM	電視		未違規結案	
Nature Tree玻尿酸黃金禮盒組	法齊有限公司/		01  4 2016 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	09 14 2015 12:00AM	電視		未違規結案	
ORIKS電力加倍超導賦活眼霜	韓貿開發有限公司/		12 21 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	09 14 2015 12:00AM	電視		未違規結案	
Louvier箔金超抗痕再生修護露	美光生醫科技股份有限公司/		12  9 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容誇大不實	09 15 2015 12:00AM	電視		未違規結案	
TIMARU20周年慶香氛沐浴限定版	恒富貿易有限公司/		04  1 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	01  2 2015 12:00AM	電視	麗冠有線電視股份有限公司	未違規結案	
DR.ERIS 不老蜂萃奇蹟抗齡組	喬依國際股份有限公司/		03 12 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	01  3 2015 12:00AM	電視	麗冠有線電視股份有限公司	未違規結案	
V-NEO黑玫瑰21奇蹟霜	美光生醫科技股份有限公司/		04 23 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符廣告內容誇大不實	01  3 2015 12:00AM	電視	麗冠有線電視股份有限公司	未違規結案	
BSC上市慶功專案眼霜特惠組	冠品生物科技股份有限公司/		07 27 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	01  4 2015 12:00AM	電視	麗冠有線電視股份有限公司	相關案件已處分	
Carla Norri鑽石微晶煥膚潔顏組	喬依國際股份有限公司/		02 12 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	12  2 2014 12:00AM	電視		未違規結案	
台鹽生技高濃度膠原凍齡限定組	旺簇實業有限公司/		07 29 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容誇大不實	01  4 2015 12:00AM	電視	麗冠有線電視股份有限公司	未違規結案	
台糖詩丹雅蘭魚子修謢睡眠霜體驗組	富悅國際行銷有限公司/		04 13 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	12 13 2014 12:00AM	電視		未違規結案	
安莎莉亞極地修護全效抗老霜	天語生物科技股份有限公司/陳宛珂		06 11 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	01  5 2015 12:00AM	電視		未違規結案	
台塑生醫養髮抗屑週年慶限定組	康柏科技股份有限公司/		06 25 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	12 22 2014 12:00AM	電視		未違規結案	
日本BSC再造無痕抗老精華液	冠品生物科技股份有限公司/		07 27 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	01  5 2015 12:00AM	電視		相關案件已處分	
ORIKS超導賦活絕無僅有特惠組	力冠國際股份有限公司/		07 29 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	01 12 2015 12:00AM	電視	麗冠有線電視股份有限公司	未違規結案	
德國原裝WEBNER激活逆齡玫瑰精油原液	久保雅司國際有限公司/		03 25 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	01 10 2015 12:00AM	電視	麗冠有線電視股份有限公司	未違規結案	
以色列原裝Style洗髮精	晉恩股份有限公司/		09 24 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01  8 2015 12:00AM	電視		未違規結案	
安莎利亞抗老緊緻逆齡精質霜	天語生物科技股份有限公司/陳宛珂		06 11 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	01  6 2015 12:00AM	電視		未違規結案	
LG秀麗韓皇后典藏玉脂膏逆齡組	人因生技有限公司/		07  3 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	01  6 2015 12:00AM	電視	麗冠有線電視股份有限公司	相關案件已處分	
DE MON多元胜肽超導緊緻美顏組	東森蝶蒙股份有限公司/		11 26 2015 12:00AM	藥事法第66條第2項	廣告違規	01 13 2015 12:00AM	電視	麗冠有線電視股份有限公司	未違規結案	
陶晶瑩代言-TS6私密嫩白慕絲升級版	賢齊生技有限公司/		05  4 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容誇大不實	01 14 2015 12:00AM	電視	麗冠有線電視股份有限公司	未違規結案	
HOMART澳洲原裝國寶水潤組	六員環有限公司/		09 16 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 14 2015 12:00AM	電視	麗冠有線電視股份有限公司	未違規結案	
GOLD SUITE雙效全能奇蹟亮眼霜	東春實業社 /		03 19 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容誇大不實	01 16 2015 12:00AM	電視	港都有線電視股份有限公司	未違規結案	
黑誕彩-日本育毛協會名醫推薦超級養髮精華	盛德竹科技股份有限公司/		10  6 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 16 2015 12:00AM	電視		未違規結案	
BSC上市慶功專案眼霜特惠組	冠品生物科技股份有限公司/		07 27 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	12 31 2014 12:00AM	電視		相關案件已處分	
皇家蜂王乳修護潤澤精華皂	旺簇實業有限公司/		04 28 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符廣告內容誇大不實	12 30 2014 12:00AM	電視		未違規結案	
 寶齡髮細胞再生新髮門診去屑組	寶齡富錦生技股份有限公司/		07  8 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 14 2015 12:00AM	電視		未違規結案	
Style以色列養髮素	晉恩股份有限公司/		09 24 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01  6 2015 12:00AM	電視		未違規結案	
Dr.Eris XS體雕中心專用必塑組	喬依國際股份有限公司/陸素菁		10 23 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	01 21 2015 12:00AM	電視		相關案件已處分	
黃馬琍老師-女王蜂子活膚霜尊寵組	力冠國際股份有限公司/		06  9 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容與廣核不符	02  2 2015 12:00AM	電視		未違規結案	
HAIR MUCH養髮精限定組	法齊有限公司/		07 20 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	11 24 2014 12:00AM	電視		未違規結案	
LESCAUT新生肌因卵殼膜再造組	巧新國際股份有限公司/		07 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告內容誇大不實	02  1 2015 12:00AM	電視	陽明山有線電視股份有限公司	未違規結案	
FORTE再生無痕全效精華組--獨家專案	桑緹亞股份有限公司台中分公司/		07 30 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	02  4 2015 12:00AM	電視	陽明山有線電視股份有限公司	未違規結案	
黃馬琍老師-女王蜂子活膚霜尊寵組	力冠國際股份有限公司/		07 31 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	02  2 2015 12:00AM	電視	陽明山有線電視股份有限公司	未違規結案	
EVELINE光美顏極緻柔膚淨白組	喬依國際股份有限公司/		03 12 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	02 22 2015 12:00AM	電視		未違規結案	
寶齡醫美專用抗初老拉皮霜	寶齡富錦生技股份有限公司/		07  8 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01 16 2015 12:00AM	電視		未違規結案	
寶齡皮膚科專用抗初老精華液	寶齡富錦生技股份有限公司/		07  7 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02  4 2015 12:00AM	電視		未違規結案	
Royal jelly皇家蜂王乳修復潤澤精華皂	旺簇實業有限公司/		04 28 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符廣告內容誇大不實	02  3 2015 12:00AM	電視		未違規結案	
STYLE以色列養髮素加1元搶購組	晉恩股份有限公司/		09 24 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	02  3 2015 12:00AM	電視	陽明山有線電視股份有限公司	未違規結案	
德國原裝Webner激活逆齡玫瑰精油原液	久保雅司國際有限公司/		03 25 2015 12:00AM	化粧品衛生管理條例第24條第2項化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	01 13 2015 12:00AM	電視		未違規結案	
雅詩蘭黛特潤再生品牌進駐限量無痕組	康柏科技股份有限公司/		07 16 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	12 22 2014 12:00AM	電視		未違規結案	
LESCAUT新生肌因卵殼膜再造組	巧新國際股份有限公司/		04 22 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告內容誇大不實	02  9 2015 12:00AM	電視		未違規結案	
Arden 新春禮盒超值組	喬依斯股份有限公司 /		07 30 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規廣告違規	01 26 2015 12:00AM	電視	港都有線電視股份有限公司	未違規結案	
LESCAUT新生肌因卵殼膜再造組	巧新國際股份有限公司/		07 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告內容誇大不實	02 12 2015 12:00AM	電視	陽明山有線電視股份有限公司	未違規結案	
LESCAUT新生肌因卵殼膜再造組	巧新國際股份有限公司/		07 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告內容誇大不實	02 14 2015 12:00AM	電視	陽明山有線電視股份有限公司	未違規結案	
黑誕彩-日本育毛協會名醫推薦養髮精華加碼組	盛德竹科技股份有限公司/		10 14 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	02 14 2015 12:00AM	電視	陽明山有線電視股份有限公司	未違規結案	
DeMon多元胜肽超導緊緻美顏組/產品編號530-5826	東森蝶蒙股份有限公司/		11 26 2015 12:00AM	藥事法第66條第2項	廣告違規	02  4 2015 12:00AM	電視	陽明山有線電視台	未違規結案	
黑誕彩超級養髮精華	盛得竹科技股份有限公司/		10  6 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01  2 2015 12:00AM	電視		未違規結案	
德國原裝WEBNER黃金配比天然美膚神油	久保雅司國際有限公司/		06  2 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	02 10 2015 12:00AM	電視	陽明山有線電視股份有限公司	未違規結案	
德國原裝WEBNER黃金配比天然美膚神油	久保雅司國際有限公司/		06  2 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	02 12 2015 12:00AM	電視	陽明山有線電視股份有限公司	未違規結案	
