分類,標題,內容,附檔連結,發布日期
"食品","「鮮乳含磺胺劑」及「奶茶含有機磷」，這是真的嗎？","解答：自89年於網路流傳數家知名品牌鮮乳含磺胺劑之謠言，經查證，國家衛生研究院從未進行有關鮮乳含磺胺劑之相關研究，且國家衛生研究院及農委會已分別於89年及91年澄清此網路訊息屬於網路謠言喔。另外90年間台南縣政府衛生局至統一企業公司新市廠現場查察並抽取檢體送驗，結果與規定相符，並無網路所言含有有機磷之說，所以請大家對於沒有根據的謠言，應抱持懷疑的態度，切莫隨意聽信唷。","","04 27 2015"
"化粧品","洗髮精含矽靈成份會傷頭髮或導致禿頭嗎？","解答：洗髮精中添加矽靈（Dimethicone）成份，主要功能在於使頭髮輕柔滑順並具有保濕效果。矽靈會附著在頭髮上，於下次洗頭時就可以沖掉，並不會阻塞毛細孔。另查詢目前國際間，包含歐盟，美國及日本等國的管理規範，亦均未禁止使用於化粧品中。所以提醒大家，正確的洗卸清潔動作很重要，不要被謠言所誤導，選擇適合自己的產品，了解成份的用途與方式，才是擁有亮澤秀髮的關鍵。","","05 7 2015"
"化粧品","化粧品含防腐劑，天天擦安全嗎？","解答： (1)多數的化粧品內含大量水分，是微生物孳生的來源之一，且臺灣地區氣候潮濕，故化粧品中會適度添加防腐劑，來避免微生物孳生並防止產品腐敗以確保產品品質，若消費者使用到腐敗變質的產品，對人體的危險和傷害的風險更高，建立正確觀念才不會害怕化粧品中的防腐劑。 (2)為保障消費者安全，本署採取嚴謹的衛生安全把關機制，同時參考國際管理規定，目前共公告47種防腐劑限量，並持續追蹤國際管理規範演變及最新科學研究結果，適時增修我國管理規定。因此消費者毋須過度恐慌，注意產品標示，適當保存方式，期限及使用方式，選擇適合自己的產品及適時諮詢專業人員，才是維持美麗的小秘訣。","","05 7 2015"
"藥品","有人說暈車可貼沙隆巴斯，它含有抗組織胺成分嗎？","解答： (1)目前經我國核准並販售的貼布或噴劑，如：「撒隆巴斯肌兒」、「撒隆巴斯-愛」、「撒隆巴斯-益 噴劑」及「撒隆巴斯舒適貼」等，都屬外用製劑藥品，其有效成分並未含有抗組織胺成分；原核准之「撒隆巴斯」藥膠布雖含有抗組織胺成分，但已於99年註銷藥品許可證，目前已無販售。 (2)另外，抗組織胺成分一般需透過口服吸收才能達到鎮暈效果，倘有需要，可以至藥局購買具有藥品許可證之藥品，並遵循藥師指示及藥品說明書使用才是聰明又安全的用法。","","05 13 2015"
"藥品","打penicillin是不是容易因為不合適而致命？","解答： Penicillin成分藥品主要用於預防或治療感染症，也就是所謂的抗生素，極少數病人可能因個人體質於施打後發生嚴重過敏反應之風險，不過其臨床效益仍大於風險，且醫療機構大多設有急救設備及藥品，醫護人員亦會監控病人施打後之情形，因此民眾無須過於恐慌。另外特別提醒，如曾經口服或施打任何抗生素藥品後出現過敏反應，於就醫時應該主動告知醫護人員或攜帶藥物過敏記錄卡，以避免再次出現過敏反應，維持自身健康。","","05 13 2015"
"藥品","抗黴菌藥有不傷肝的嗎？","解答： 大多數的藥品可能會因個人體質或疾病因素導致輕微或嚴重的副作用發生，如抗黴菌藥可能會造成肝功能異常等不良反應，尤其自身為病毒性肝炎或肝功能異常患者更需提高警覺。因此在服藥期間必須遵從醫師指示服藥，並定期檢測肝臟功能，千萬不可自行停藥，如有不適情形出現，立即回診，遵循醫師指示配合治療才是最正確作法。","","05 13 2015"
"藥品","吃正露丸會致癌，這是真的嗎？","解答： (1)正露丸主要成分為木餾油(wood creosote)，並配有黃柏粉、阿仙粉、甘草粉及陳皮粉等藥材，為具有特異味道和氣味、稍濕軟的丸劑。木餾油是一種通過加熱裂解木材而製得的混合物，其成分以酚類化合物為主。目前並沒有證據顯示木餾油可能導致癌症。 (2)正露丸是目前食品藥物管理署所核准的合法藥品，並且收載在2009-10日本醫藥品集中，其類別為第2類藥品，在我國為「醫師藥師藥劑生指示藥品」，使用此類藥品，請遵照醫師、藥師或藥劑生指示。正露丸在短期的腹瀉及消化不良具有其療效，但還是不建議民眾長期服用，如有腸胃不適的問題，應詢問醫師；如有用藥問題，應詢問藥師。","","05 13 2015"
"化粧品","聽說黑木耳面膜具有抗發炎效果，這是真的嗎？","解答： 1.依據衛生福利部105年9月6日部授食字第1051607584號公告「化粧品得宣稱詞句例示及不適當宣稱詞句例示」化粧品不可能達到整型外科之效果，且不得涉及藥物效能，依據該公告規定，化粧品宣稱「消炎」、「抑炎」、「發炎」均為不適當詞句。 2.食藥署提醒消費者選購化粧品時不要相信誇大不實或具有醫療效能之宣稱，才不會瘦了荷包又無法達到預期效果。","","05 11 2017"
"食品","聽說頭尾呈現綠色的香蕉，吃了會致癌，這是真的嗎？","解答： 網路流傳香蕉頭尾呈現綠色，其他部位為黃色，則是頭尾有塗抹催熟劑，這種催熟劑會導致癌症，這是真的嗎？ (1) 香蕉若在樹上自然黃熟，常常無法轉色及熟成一致，導致口感品質不佳，因此目前市售香蕉是先於綠熟期採收，後再以低溫催熟促使後熟，使香蕉熟成品質一致。 (2) 根據農委會指出，青蕉催熟是以低溫(14~20℃)催熟約5~7天，催熟的第1天利用酒精或電石(電土)產生微量乙烯，促使青蕉果皮逐漸退綠轉黃，絕無塗抹催熟劑，網路流傳之「頭尾綠香蕉」實際上是果皮轉色級數達第5級的香蕉。乙烯屬揮發性物質，會自然揮發消散，不會存在於香蕉內，並無致癌風險。 (3) 選購香蕉時，若表皮出現黑點，並非香蕉腐敗，反而是香蕉最香甜的時候。若民眾仍有疑慮，可以在食用前用清水沖洗。 參考資料： 行政院公告 http://www.ey.gov.tw/News_Content.aspx?n=E7E343F6009EC241&sms=E452EBB48FCCFD71&s=D8FE13D8CC7D055D 農委會農產品食安專區 http://www.coa.gov.tw/faq/faq_view.php?id=171 華人健康網 https://www.top1health.com/Article/38001 台灣好食材 https://www.fooding.com.tw/article-content.php?aid=104005","","05 16 2017"
"食品","聽說市售紫菜使用塑膠膜混製，這是真的嗎？","解答： 買到洗不破、撕不破的紫菜，聽說有可能使用塑膠膜混製，這是真的嗎？ (1) 日前有民眾料理紫菜時，發現買到洗不破、撕不破的紫菜，懷疑紫菜可能使用塑膠膜混製。地方衛生局接獲訊息後立即抽樣送驗，檢驗結果確定該紫菜具有海菜細胞壁，且未檢出塑化劑，並非謠傳所指的用塑膠膜混製。 (2) 食藥署提醒，購買食品應注意食品的外觀及是否有異狀、異味，也應注意食品標示、保存方式及包裝完整。如購買食品有衛生安全疑慮，可向賣家或衛生單位反映，另勿輕信或傳播不實謠言。 (3) 針對涉有疑慮產品，衛生機關將依法調查，倘經查獲違規屬實，逕依相關規定處辦。 資料來源： 自由時報〈賣場紫菜是塑膠做的？ 衛生局檢驗：是紫菜〉 http://news.ltn.com.tw/news/life/breakingnews/2070805 撕不爛的紫菜是塑料做的？別鬧了！有一種天然物質叫瓊膠 https://kknews.cc/zh-hk/news/85me8ll.html","","05 19 2017"
"食品","厥菜（過貓）是否真會致癌？","解答： (1)蕨類種類可分為數種，不同種類的蕨類所含營養及其他成分均不同，另蕨類亦有「可食蕨類」、「不可食蕨類」，目前台灣可食用蕨菜為過溝菜蕨，其別名有食用雙囊蕨、過溝菜、過貓、水過貓及蕨貓等，食用部位為嫩葉部尚呈捲曲者，早期國內民間常採而供作蔬菜，東印度群島之居民亦採而食之，被視為滋補食物，至今亦未有食用過溝菜蕨(過貓)之病例發生。 (2)由於國人健康意識的提升，對於食品安全相關議題愈益重視，因此有關食品問題的傳言越來越多，但多為誇大或未經證實之內容，常引起許多民眾的恐慌，對於沒有根據的謠言，大家應抱持懷疑的態度，切莫隨意聽信。","","05 13 2015"
"藥品","長期使用口服避孕藥，會造成日後不孕嗎?","解答： (1)口服避孕藥的主要成分為雌激素和黃體素，其作用在抑制排卵，以達到避孕的效果。 (2)一般來說，長期服用避孕藥後，一旦停藥，卵巢大約會在3個月內恢復正常的排卵功能。口服避孕藥是「可逆性」的避孕方式，效果僅存於服用期間，不會導致永久不孕。不過醫師建議長期服用避孕藥的女性朋友，若是有懷孕計畫時，最好在半年前開始停藥，讓卵巢有一段時間從被抑制的環境慢慢恢復到正常排卵的功能，即可懷孕。 (3)女性的受孕能力原本就會隨著年紀而下降，若服用避孕藥多年之後又突然計畫懷孕，很有可能會因為年紀或其他因素影響受孕機會，且避孕藥的種類繁多，劑量也不同，第一次服用時還是建議請醫師先行評估後，由醫師替您開立最適合的口服避孕藥，以降低副作用發生的機率，服藥後也應定期追蹤檢查，確保長期服藥的健康品質。","","06 25 2015"
"藥品","把藥放冰箱，可以保存更久，是真的嗎？","解答： (1)各種藥物都有一定的使用期限，且即使在期限內也會因保存不當而失去療效，甚至有害身體。 (2)藥品保存原則為避光、避濕、避熱，並且最好存放在乾燥陰涼環境。需要冷藏的藥品，在藥袋上都會特別標示，應詳讀藥品的保存說明；沒有特別註明的藥品就不需要冷藏，冰箱內的溫度低、濕氣重，反而會使藥品容易變質影響保存期限。需存放於冰箱內的藥品，必需要和食物分開單獨存放，以免受到食物的污染。","","06 25 2015"
"藥品","藥瓶開瓶後，瓶內的棉花、乾燥劑不能丟，因為要保護藥品，是真的嗎？","解答： (1)藥瓶內塞「棉花」，是為了填滿瓶內空間，防止藥品在運送過程中，因震動而使藥品破碎；而藥瓶內所附之「乾燥劑」，是為了吸收少數經由藥瓶封口滲入的水分，以保證藥品在使用年限內的品質及安全性。 (2)藥瓶內的棉花及乾燥劑在開瓶後，就必須丟棄，棉花與乾燥劑在開封後會吸附水氣，反而使藥品更容易潮濕變質。","","06 25 2015"
"藥品","有些西藥容易傷胃，所以吃藥一定要加胃藥是真的嗎？","解答： 民眾常有的用藥錯誤觀念為吃西藥會傷腸胃，因此會要求醫師加開胃藥，或自行到藥局購買胃藥使用。俗稱的胃藥(胃乳片)，正確來說就是「制酸劑」。 (1)市售制酸劑成藥相當普遍，通常不是單一成分而是多種成分複方。胃酸是身體殺死細菌的第一道防線，長期服用制酸劑，胃內酸鹼值持續升高，反而造成胃腸細菌過度生長。 (2)吃藥不一定要加制酸劑，有些藥品的藥效會因為併用制酸劑而降低，甚至失效。而且，不是所有的藥品都會引發腸胃不適，即使有，大部分是輕微的，或在停藥後自行改善。 (3)制酸劑不能防止藥品引起的胃腸潰瘍，有些藥品會導致胃腸潰瘍的副作用，但並非單純因胃酸刺激所導致，併用制酸劑並不能預防這種情形，醫師及藥師會衡量病人的整體用藥，並評估是否須併用制酸劑或其他藥品。 (4)遵守用藥五不原則：不聽神奇療效藥品的廣告、不信有神奇療效的藥品 、不買地攤、夜市、網路、遊覽車上所販賣的藥品、不吃別人贈送的藥品、不推薦藥品給其他人。 (5)自行購買制酸劑跟其他藥品一起吃，可能會影響疾病治療效果或反而增加藥品副作用。","","06 25 2015"
"藥品","使用含有acetaminophen成分藥品會傷腎，是真的嗎？","解答： (1)Acetaminophen是一種中樞作用型解熱鎮痛藥品，在正常健康狀況下，使用正常的建議劑量（成人每日不超過4000毫克，兒童每日每公斤不超過50毫克，分多次服用，每次至少間隔4小時），並不會引起腎毒性。有少數報告顯示當急性過量使用時，會導致腎功能不良，但多為可逆性，如果慢性大量使用，才有嚴重腎臟傷害的可能性。 (2)根據國外報告，成人長期持續使用1年以上，而且累積劑量超過1公斤（以一般每顆500毫克的成人劑型而言，相當於2000顆）時，可能導致嚴重腎臟傷害。此外，過量使用acetaminophen或併服酒精性飲料時，具有肝臟損傷之風險。因此使用該成分藥品，應依照仿單或醫師指示使用，且避免長期持續使用或同時飲用酒精。 本文案為食藥署與臺灣兒科醫學會共同撰文","","06 25 2015"
